springA,springB,springC,springP,summerA,summerB,summerC,summerP,autumnA,autumnB,autumnC,autumnP,WinterA,WinterB,WinterC,WinterP,,,,,,,,,
43.9,45.6,44.5,0,42.3,43.9,43.2,28,40.1,41.7,40.9,0,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.3,43.9,43.2,28,40.1,41.7,40.9,0,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.6,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.2,43.9,43.1,0,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.2,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42.1,43.8,43.1,185.5,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.5,41.1,40.3,0,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,42,43.7,43,154,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.9,0,39.4,41.1,40.2,35,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
43.9,45.6,44.5,0,41.9,43.6,42.8,0,40.1,41.7,40.8,0,39.4,41.1,40.2,0,,,,,,,,,
